date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:07	55058/55058	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/product-2.html	E:/bidding%20app/pixner.net/sbidu/main/product-2.html	(from https://pixner.net/sbidu/main/product.html)
11:48:07	57228/57228	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:39:56%20GMT	https://pixner.net/sbidu/main/product-details.html	E:/bidding%20app/pixner.net/sbidu/main/product-details.html	(from https://pixner.net/sbidu/main/product.html)
11:48:08	26807/26807	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/sign-up.html	E:/bidding%20app/pixner.net/sbidu/main/sign-up.html	(from https://pixner.net/sbidu/main/product.html)
11:48:08	46415/46415	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:38:48%20GMT	https://pixner.net/sbidu/main/dashboard.html	E:/bidding%20app/pixner.net/sbidu/main/dashboard.html	(from https://pixner.net/sbidu/main/product.html)
11:48:08	32343/32343	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/profile.html	E:/bidding%20app/pixner.net/sbidu/main/profile.html	(from https://pixner.net/sbidu/main/product.html)
11:48:09	53991/53991	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/my-bid.html	E:/bidding%20app/pixner.net/sbidu/main/my-bid.html	(from https://pixner.net/sbidu/main/product.html)
11:48:09	39774/39774	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/winning-bids.html	E:/bidding%20app/pixner.net/sbidu/main/winning-bids.html	(from https://pixner.net/sbidu/main/product.html)
11:48:10	32597/32597	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:02%20GMT	https://pixner.net/sbidu/main/notifications.html	E:/bidding%20app/pixner.net/sbidu/main/notifications.html	(from https://pixner.net/sbidu/main/product.html)
11:48:10	39776/39776	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/my-favorites.html	E:/bidding%20app/pixner.net/sbidu/main/my-favorites.html	(from https://pixner.net/sbidu/main/product.html)
11:48:11	31587/31587	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/referral.html	E:/bidding%20app/pixner.net/sbidu/main/referral.html	(from https://pixner.net/sbidu/main/product.html)
11:48:11	43394/43394	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/about.html	E:/bidding%20app/pixner.net/sbidu/main/about.html	(from https://pixner.net/sbidu/main/product.html)
11:48:11	40117/40117	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/faqs.html	E:/bidding%20app/pixner.net/sbidu/main/faqs.html	(from https://pixner.net/sbidu/main/product.html)
11:48:12	2613/2613	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jan%202024%2009:54:06%20GMT	https://pixner.net/sbidu/main/error.html	E:/bidding%20app/pixner.net/sbidu/main/error.html	(from https://pixner.net/sbidu/main/product.html)
11:48:12	26286/26286	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2008:37:08%20GMT	https://pixner.net/sbidu/main/contact.html	E:/bidding%20app/pixner.net/sbidu/main/contact.html	(from https://pixner.net/sbidu/main/product.html)
11:48:13	5238/5238	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Sep%202020%2004:43:48%20GMT	https://pixner.net/sbidu/main/assets/images/logo/logo2.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/logo/logo2.png	(from https://pixner.net/sbidu/main/product.html)
11:48:15	38298/38298	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Sep%202020%2007:17:10%20GMT	https://pixner.net/sbidu/main/assets/images/shop/shop01.jpg	E:/bidding%20app/pixner.net/sbidu/main/assets/images/shop/shop01.jpg	(from https://pixner.net/sbidu/main/product.html)
11:48:15	59892/59892	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Sep%202020%2007:17:16%20GMT	https://pixner.net/sbidu/main/assets/images/shop/shop02.jpg	E:/bidding%20app/pixner.net/sbidu/main/assets/images/shop/shop02.jpg	(from https://pixner.net/sbidu/main/product.html)
11:48:16	35877/35877	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Sep%202020%2007:17:24%20GMT	https://pixner.net/sbidu/main/assets/images/shop/shop03.jpg	E:/bidding%20app/pixner.net/sbidu/main/assets/images/shop/shop03.jpg	(from https://pixner.net/sbidu/main/product.html)
11:48:17	48913/48913	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Sep%202020%2007:17:28%20GMT	https://pixner.net/sbidu/main/assets/images/shop/shop04.jpg	E:/bidding%20app/pixner.net/sbidu/main/assets/images/shop/shop04.jpg	(from https://pixner.net/sbidu/main/product.html)
11:48:18	26157/26157	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Sep%202020%2007:17:34%20GMT	https://pixner.net/sbidu/main/assets/images/shop/shop05.jpg	E:/bidding%20app/pixner.net/sbidu/main/assets/images/shop/shop05.jpg	(from https://pixner.net/sbidu/main/product.html)
11:48:20	100822/100822	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Sep%202020%2008:31:18%20GMT	https://pixner.net/sbidu/main/assets/images/banner/hero-bg.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/banner/hero-bg.png	(from https://pixner.net/sbidu/main/product.html)
11:48:21	48261/48261	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Sep%202020%2005:04:44%20GMT	https://pixner.net/sbidu/main/assets/images/auction/car/auction-1.jpg	E:/bidding%20app/pixner.net/sbidu/main/assets/images/auction/car/auction-1.jpg	(from https://pixner.net/sbidu/main/product.html)
11:48:22	42361/42361	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Sep%202020%2005:04:42%20GMT	https://pixner.net/sbidu/main/assets/images/auction/car/auction-2.jpg	E:/bidding%20app/pixner.net/sbidu/main/assets/images/auction/car/auction-2.jpg	(from https://pixner.net/sbidu/main/product.html)
11:48:24	50455/50455	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Sep%202020%2005:04:40%20GMT	https://pixner.net/sbidu/main/assets/images/auction/car/auction-3.jpg	E:/bidding%20app/pixner.net/sbidu/main/assets/images/auction/car/auction-3.jpg	(from https://pixner.net/sbidu/main/product.html)
11:48:26	58984/58984	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Sep%202020%2004:05:50%20GMT	https://pixner.net/sbidu/main/assets/images/auction/product/01.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/auction/product/01.png	(from https://pixner.net/sbidu/main/product.html)
11:48:26	55509/55509	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Sep%202020%2004:05:50%20GMT	https://pixner.net/sbidu/main/assets/images/auction/product/02.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/auction/product/02.png	(from https://pixner.net/sbidu/main/product.html)
11:48:27	45777/45777	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Sep%202020%2004:05:50%20GMT	https://pixner.net/sbidu/main/assets/images/auction/product/03.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/auction/product/03.png	(from https://pixner.net/sbidu/main/product.html)
11:48:29	64564/64564	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Sep%202020%2004:05:50%20GMT	https://pixner.net/sbidu/main/assets/images/auction/product/04.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/auction/product/04.png	(from https://pixner.net/sbidu/main/product.html)
11:48:30	59632/59632	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Sep%202020%2004:05:50%20GMT	https://pixner.net/sbidu/main/assets/images/auction/product/05.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/auction/product/05.png	(from https://pixner.net/sbidu/main/product.html)
11:48:31	66709/66709	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Sep%202020%2004:05:50%20GMT	https://pixner.net/sbidu/main/assets/images/auction/product/06.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/auction/product/06.png	(from https://pixner.net/sbidu/main/product.html)
11:48:32	54332/54332	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Sep%202020%2004:05:50%20GMT	https://pixner.net/sbidu/main/assets/images/auction/product/07.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/auction/product/07.png	(from https://pixner.net/sbidu/main/product.html)
11:48:33	46683/46683	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Sep%202020%2004:05:50%20GMT	https://pixner.net/sbidu/main/assets/images/auction/product/08.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/auction/product/08.png	(from https://pixner.net/sbidu/main/product.html)
11:48:34	67696/67696	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Sep%202020%2004:05:50%20GMT	https://pixner.net/sbidu/main/assets/images/auction/product/09.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/auction/product/09.png	(from https://pixner.net/sbidu/main/product.html)
11:48:36	22477/22477	---M--	200	added ('OK')	image/png	date:Sat,%2022%20Aug%202020%2006:46:26%20GMT	https://pixner.net/sbidu/main/assets/css/img/footer-top-shape.png	E:/bidding%20app/pixner.net/sbidu/main/assets/css/img/footer-top-shape.png	(from https://pixner.net/sbidu/main/product.html)
11:48:36	126467/126467	---M--	200	added ('OK')	image/jpeg	date:Sat,%2022%20Aug%202020%2013:54:50%20GMT	https://pixner.net/sbidu/main/assets/images/footer/footer-bg.jpg	E:/bidding%20app/pixner.net/sbidu/main/assets/images/footer/footer-bg.jpg	(from https://pixner.net/sbidu/main/product.html)
11:48:37	230/230	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2004:10:52%20GMT	https://pixner.net/sbidu/main/assets/images/footer/p1.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/footer/p1.png	(from https://pixner.net/sbidu/main/product.html)
11:48:38	166/166	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2004:10:52%20GMT	https://pixner.net/sbidu/main/assets/images/footer/p2.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/footer/p2.png	(from https://pixner.net/sbidu/main/product.html)
11:48:39	230/230	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2004:10:52%20GMT	https://pixner.net/sbidu/main/assets/images/footer/p3.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/footer/p3.png	(from https://pixner.net/sbidu/main/product.html)
11:48:43	472/472	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2004:10:52%20GMT	https://pixner.net/sbidu/main/assets/images/footer/c2.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/footer/c2.png	(from https://pixner.net/sbidu/main/product.html)
11:48:43	396/396	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2004:10:52%20GMT	https://pixner.net/sbidu/main/assets/images/footer/c3.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/footer/c3.png	(from https://pixner.net/sbidu/main/product.html)
11:48:44	425/425	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2004:10:52%20GMT	https://pixner.net/sbidu/main/assets/images/footer/c4.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/footer/c4.png	(from https://pixner.net/sbidu/main/product.html)
11:48:45	41355/41355	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2001:45:48%20GMT	https://pixner.net/sbidu/main/assets/images/footer/newslater.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/footer/newslater.png	(from https://pixner.net/sbidu/main/product.html)
11:48:46	5047/5047	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Sep%202020%2004:42:36%20GMT	https://pixner.net/sbidu/main/assets/images/logo/footer-logo.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/logo/footer-logo.png	(from https://pixner.net/sbidu/main/product.html)
11:48:48	559/559	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2003:30:30%20GMT	https://pixner.net/sbidu/main/assets/images/footer/paypal.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/footer/paypal.png	(from https://pixner.net/sbidu/main/product.html)
11:48:49	592/592	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2003:30:30%20GMT	https://pixner.net/sbidu/main/assets/images/footer/visa.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/footer/visa.png	(from https://pixner.net/sbidu/main/product.html)
11:48:51	610/610	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2003:30:30%20GMT	https://pixner.net/sbidu/main/assets/images/footer/discover.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/footer/discover.png	(from https://pixner.net/sbidu/main/product.html)
11:48:52	682/682	---M--	200	added ('OK')	image/png	date:Sun,%2023%20Aug%202020%2003:30:30%20GMT	https://pixner.net/sbidu/main/assets/images/footer/mastercard.png	E:/bidding%20app/pixner.net/sbidu/main/assets/images/footer/mastercard.png	(from https://pixner.net/sbidu/main/product.html)
11:48:53	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2015%20Apr%202025%2006:18:52%20GMT	https://pixner.net/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	E:/bidding%20app/pixner.net/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://pixner.net/sbidu/main/product.html)
11:48:54	86927/86927	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202020%2017:40:12%20GMT	https://pixner.net/sbidu/main/assets/js/jquery-3.3.1.min.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/jquery-3.3.1.min.js	(from https://pixner.net/sbidu/main/product.html)
11:48:55	8636/8636	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202020%2017:40:12%20GMT	https://pixner.net/sbidu/main/assets/js/modernizr-3.6.0.min.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/modernizr-3.6.0.min.js	(from https://pixner.net/sbidu/main/product.html)
11:48:55	706/706	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202020%2017:40:14%20GMT	https://pixner.net/sbidu/main/assets/js/plugins.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/plugins.js	(from https://pixner.net/sbidu/main/product.html)
11:48:56	60010/60010	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202020%2017:40:12%20GMT	https://pixner.net/sbidu/main/assets/js/bootstrap.min.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/bootstrap.min.js	(from https://pixner.net/sbidu/main/product.html)
11:48:57	35456/35456	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Sep%202020%2007:46:44%20GMT	https://pixner.net/sbidu/main/assets/js/isotope.pkgd.min.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/isotope.pkgd.min.js	(from https://pixner.net/sbidu/main/product.html)
11:48:59	14239/14239	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Dec%202023%2009:28:28%20GMT	https://pixner.net/sbidu/main/assets/js/aos.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/aos.js	(from https://pixner.net/sbidu/main/product.html)
11:49:00	8416/8416	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202020%2017:40:14%20GMT	https://pixner.net/sbidu/main/assets/js/wow.min.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/wow.min.js	(from https://pixner.net/sbidu/main/product.html)
11:49:00	8846/8846	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2011%20Sep%202020%2007:43:56%20GMT	https://pixner.net/sbidu/main/assets/js/waypoints.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/waypoints.js	(from https://pixner.net/sbidu/main/product.html)
11:49:01	4045/4045	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202020%2017:40:12%20GMT	https://pixner.net/sbidu/main/assets/js/nice-select.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/nice-select.js	(from https://pixner.net/sbidu/main/product.html)
11:49:02	1269/1269	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2029%20Apr%202020%2016:24:06%20GMT	https://pixner.net/sbidu/main/assets/js/counterup.min.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/counterup.min.js	(from https://pixner.net/sbidu/main/product.html)
11:49:03	62477/62477	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2004%20May%202020%2006:30:02%20GMT	https://pixner.net/sbidu/main/assets/js/owl.min.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/owl.min.js	(from https://pixner.net/sbidu/main/product.html)
11:49:04	25728/25728	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202020%2017:40:12%20GMT	https://pixner.net/sbidu/main/assets/js/magnific-popup.min.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/magnific-popup.min.js	(from https://pixner.net/sbidu/main/product.html)
11:49:04	1581/1581	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2022%20Aug%202020%2003:09:18%20GMT	https://pixner.net/sbidu/main/assets/js/yscountdown.min.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/yscountdown.min.js	(from https://pixner.net/sbidu/main/product.html)
11:49:06	253680/253680	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2021%20Apr%202020%2017:40:12%20GMT	https://pixner.net/sbidu/main/assets/js/jquery-ui.min.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/jquery-ui.min.js	(from https://pixner.net/sbidu/main/product.html)
11:49:07	50056/50056	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2010%20Jan%202024%2011:08:16%20GMT	https://pixner.net/sbidu/main/assets/js/main.js	E:/bidding%20app/pixner.net/sbidu/main/assets/js/main.js	(from https://pixner.net/sbidu/main/product.html)
11:49:10	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2023%20Mar%202020%2020:46:02%20GMT	https://pixner.net/sbidu/main/assets/webfonts/fa-brands-400.eot	E:/bidding%20app/pixner.net/sbidu/main/assets/webfonts/fa-brands-400.eot	(from https://pixner.net/sbidu/main/assets/css/all.min.css)
11:49:11	133034/133034	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2023%20Mar%202020%2020:46:02%20GMT	https://pixner.net/sbidu/main/assets/webfonts/fa-brands-400.eot?	E:/bidding%20app/pixner.net/sbidu/main/assets/webfonts/fa-brands-400d41d.eot	(from https://pixner.net/sbidu/main/assets/css/all.min.css)
11:49:13	76612/76612	---M--	200	added ('OK')	font/woff2	date:Mon,%2023%20Mar%202020%2020:46:02%20GMT	https://pixner.net/sbidu/main/assets/webfonts/fa-brands-400.woff2	E:/bidding%20app/pixner.net/sbidu/main/assets/webfonts/fa-brands-400.woff2	(from https://pixner.net/sbidu/main/assets/css/all.min.css)
11:49:15	89824/89824	---M--	200	added ('OK')	font/woff	date:Mon,%2023%20Mar%202020%2020:46:02%20GMT	https://pixner.net/sbidu/main/assets/webfonts/fa-brands-400.woff	E:/bidding%20app/pixner.net/sbidu/main/assets/webfonts/fa-brands-400.woff	(from https://pixner.net/sbidu/main/assets/css/all.min.css)
11:49:16	132728/132728	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2023%20Mar%202020%2020:46:02%20GMT	https://pixner.net/sbidu/main/assets/webfonts/fa-brands-400.ttf	E:/bidding%20app/pixner.net/sbidu/main/assets/webfonts/fa-brands-400.ttf	(from https://pixner.net/sbidu/main/assets/css/all.min.css)
11:49:20	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2023%20Mar%202020%2020:46:02%20GMT	https://pixner.net/sbidu/main/assets/webfonts/fa-regular-400.eot	E:/bidding%20app/pixner.net/sbidu/main/assets/webfonts/fa-regular-400.eot	(from https://pixner.net/sbidu/main/assets/css/all.min.css)
11:49:21	715890/715890	---MCZ	200	added ('OK')	image/svg+xml	date:Mon,%2023%20Mar%202020%2020:46:02%20GMT	https://pixner.net/sbidu/main/assets/webfonts/fa-brands-400.svg	E:/bidding%20app/pixner.net/sbidu/main/assets/webfonts/fa-brands-400.svg	(from https://pixner.net/sbidu/main/assets/css/all.min.css)
11:49:24	34390/34390	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2023%20Mar%202020%2020:46:02%20GMT	https://pixner.net/sbidu/main/assets/webfonts/fa-regular-400.eot?	E:/bidding%20app/pixner.net/sbidu/main/assets/webfonts/fa-regular-400d41d.eot	(from https://pixner.net/sbidu/main/assets/css/all.min.css)
11:49:25	13584/13584	---M--	200	added ('OK')	font/woff2	date:Mon,%2023%20Mar%202020%2020:46:02%20GMT	https://pixner.net/sbidu/main/assets/webfonts/fa-regular-400.woff2	E:/bidding%20app/pixner.net/sbidu/main/assets/webfonts/fa-regular-400.woff2	(from https://pixner.net/sbidu/main/assets/css/all.min.css)
11:49:27	16800/16800	---M--	200	added ('OK')	font/woff	date:Mon,%2023%20Mar%202020%2020:46:02%20GMT	https://pixner.net/sbidu/main/assets/webfonts/fa-regular-400.woff	E:/bidding%20app/pixner.net/sbidu/main/assets/webfonts/fa-regular-400.woff	(from https://pixner.net/sbidu/main/assets/css/all.min.css)
11:49:29	34092/34092	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2023%20Mar%202020%2020:46:02%20GMT	https://pixner.net/sbidu/main/assets/webfonts/fa-regular-400.ttf	E:/bidding%20app/pixner.net/sbidu/main/assets/webfonts/fa-regular-400.ttf	(from https://pixner.net/sbidu/main/assets/css/all.min.css)
